employeenumber,age,attrition,businesstravel,distancefromhome,education,educationfield,environmentsatisfaction,gender,jobinvolvement,joblevel,jobrole,jobsatisfaction,maritalstatus,numero_empresas_anteriores,horas_extra,incremento_salario,nivel_trabajo,satisfaccion_relaciones_interpersonales,clasificacion_jornada,años_experiencia,cursos,worklifebalance,yearsatcompany,yearssincelastpromotion,yearswithcurrmanager,salary,remotework,salary_month
1,53,No,Unknown,6,3,Life Sciences,1,M,3,5, Research Director ,3,Unknown,7,No,13,3,3,Full Time,11.32,5,Alto,20,15,15,195370.0,Yes,16280.83
2,54,No,Unknown,1,4,Life Sciences,3,M,2,5, Manager ,3,Unknown,0,Unknown,14,3,1,Unknown,34.0,5,Alto,33,11,9,199990.0,Yes,16665.83
3,44,No,travel_rarely,4,2,Technical Degree,3,M,3,5, Manager ,4,Married,1,No,11,3,4,Unknown,22.0,3,Unknown,22,11,15,192320.0,Yes,16026.67
4,49,No,travel_rarely,2,4,Medical,1,F,3,4, Research Director ,3,Married,3,Unknown,19,3,2,Full Time,11.32,2,Unknown,20,5,6,171690.0,No,14307.5
5,48,No,Unknown,3,3,Technical Degree,1,F,4,4, Sales Executive ,1,Divorced,2,No,12,3,4,Unknown,11.32,5,Alto,19,2,8,65245.88,No,5437.16
6,50,No,Unknown,22,3,Medical,4,F,3,4, Manager ,4,Unknown,3,No,11,3,2,Unknown,11.32,3,Alto,22,4,7,65245.88,Yes,5437.16
7,61,No,Unknown,25,3,Life Sciences,1,F,3,3, Sales Executive ,1,Unknown,7,Unknown,11,3,4,Part Time,28.0,3,Medio,21,7,9,100071.84,Yes,8339.32
8,44,No,travel_rarely,1,1,Life Sciences,2,M,3,2, Sales Executive ,3,Married,1,No,25,4,3,Part Time,20.0,3,Alto,20,11,6,53914.11,No,4492.84
9,43,No,Unknown,2,5,Life Sciences,2,F,3,4, Manager ,1,Married,7,No,16,3,2,Full Time,22.0,2,Alto,18,11,8,165950.0,Yes,13829.17
10,43,No,travel_frequently,9,3,Life Sciences,1,M,3,5, Research Director ,3,Unknown,2,No,17,3,2,Unknown,21.0,2,Muy alto,18,0,11,65245.88,No,5437.16
11,43,No,non-travel,7,1,Life Sciences,2,F,1,5, Research Director ,3,Unknown,1,No,22,4,2,Full Time,11.32,3,Alto,21,5,10,199730.0,No,16644.17
12,58,No,travel_rarely,23,3,Life Sciences,4,M,3,4, Manufacturing Director ,2,Married,4,Yes,12,3,1,Full Time,33.0,0,Alto,19,15,9,134020.0,No,11168.33
13,40,No,Unknown,10,3,Medical,2,F,1,3, Research Director ,3,Married,3,No,12,3,1,Full Time,11.32,3,Alto,18,1,11,132060.0,Yes,11005.0
